Survey_Base_Date_DE,Country_CD,Music_NM,Artist_NM,Music_RN,FILE_NAME,BASE_YMD
2020-01-07,au,Red Velvet,Psycho,1,KC_music_chart_au_2019,2019
2020-01-07,au,BLACKPINK,Kill This Love,2,KC_music_chart_au_2019,2019
2020-01-07,au,MAMAMOO,Hip,3,KC_music_chart_au_2019,2019
2020-01-07,au,PSY,Gangnam Style,4,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,Boy With Luv (feat. Halsey),5,KC_music_chart_au_2019,2019
2020-01-07,au,"K/DA, Madison Beer & (G)I-DLE",POP/STARS (feat. Jaira Burns),6,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,Make It Right (feat. Lauv),7,KC_music_chart_au_2019,2019
2020-01-07,au,PSY,Gangnam Style,8,KC_music_chart_au_2019,2019
2020-01-07,au,Stray Kids,Mixtape : Gone Days,9,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,HOME,10,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,Dionysus,11,KC_music_chart_au_2019,2019
2020-01-07,au,Ailee,Just Look for You,12,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,Burning Up (Fire),13,KC_music_chart_au_2019,2019
2020-01-07,au,BLACKPINK,DDU-DU DDU-DU,14,KC_music_chart_au_2019,2019
2020-01-07,au,JENNIE (from BLACKPINK),SOLO,15,KC_music_chart_au_2019,2019
2020-01-07,au,BLACKPINK,BOOMBAYAH,16,KC_music_chart_au_2019,2019
2020-01-07,au,Red Velvet,Peek-A-Boo,17,KC_music_chart_au_2019,2019
2020-01-07,au,EXO,Obsession,18,KC_music_chart_au_2019,2019
2020-01-07,au,TWICE,FANCY,19,KC_music_chart_au_2019,2019
2020-01-07,au,MOMOLAND,Thumbs Up,20,KC_music_chart_au_2019,2019
2020-01-07,au,TWICE,Feel Special,21,KC_music_chart_au_2019,2019
2020-01-07,au,EXO,Tempo,22,KC_music_chart_au_2019,2019
2020-01-07,au,TOMORROW X TOGETHER,9 and Three Quarters (Run Away),23,KC_music_chart_au_2019,2019
2020-01-07,au,MAMAMOO,Starry Night,24,KC_music_chart_au_2019,2019
2020-01-07,au,ATEEZ,Wonderland,25,KC_music_chart_au_2019,2019
2020-01-07,au,MAMAMOO,Egotistic,26,KC_music_chart_au_2019,2019
2020-01-07,au,SuperM,Jopping,27,KC_music_chart_au_2019,2019
2020-01-07,au,(G)I-DLE,LION,28,KC_music_chart_au_2019,2019
2020-01-07,au,Red Velvet,RBB (Really Bad Boy),29,KC_music_chart_au_2019,2019
2020-01-07,au,Stray Kids,Side Effects,30,KC_music_chart_au_2019,2019
2020-01-07,au,IU,Blueming,31,KC_music_chart_au_2019,2019
2020-01-07,au,Red Velvet,Zimzalabim,32,KC_music_chart_au_2019,2019
2020-01-07,au,PENTAGON,Shine,33,KC_music_chart_au_2019,2019
2020-01-07,au,MAMAMOO,Gleam,34,KC_music_chart_au_2019,2019
2020-01-07,au,Yubin,Special (From. Chocolate),35,KC_music_chart_au_2019,2019
2020-01-07,au,Park Hyo Shin,Sound of Winter,36,KC_music_chart_au_2019,2019
2020-01-07,au,LOOΠΔ,Eclipse,37,KC_music_chart_au_2019,2019
2020-01-07,au,DinDin,#Drive (feat. YOOYEONJUNG),38,KC_music_chart_au_2019,2019
2020-01-07,au,PSY,Gangnam Style,39,KC_music_chart_au_2019,2019
2020-01-07,au,BIGBANG,BANG BANG BANG,40,KC_music_chart_au_2019,2019
2020-01-07,au,Yiruma,Kiss the Rain,41,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,Save Me,42,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix],43,KC_music_chart_au_2019,2019
2020-01-07,au,BIGBANG,LOSER,44,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,Not Today,45,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,Dope,46,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,DNA,47,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,Spring Day,48,KC_music_chart_au_2019,2019
2020-01-07,au,2NE1,I Am the Best,49,KC_music_chart_au_2019,2019
2020-01-07,au,BLACKPINK,As If It's Your Last,50,KC_music_chart_au_2019,2019
2020-01-07,au,BIGBANG,IF YOU,51,KC_music_chart_au_2019,2019
2020-01-07,au,Girls' Generation,I Got a Boy,52,KC_music_chart_au_2019,2019
2020-01-07,au,SHINee,Lucifer,53,KC_music_chart_au_2019,2019
2020-01-07,au,2NE1,I Love You,54,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,I Need U,55,KC_music_chart_au_2019,2019
2020-01-07,au,G-DRAGON,Crayon,56,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,FAKE LOVE,57,KC_music_chart_au_2019,2019
2020-01-07,au,EXO,Monster,58,KC_music_chart_au_2019,2019
2020-01-07,au,BLACKPINK,WHISTLE,59,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,IDOL,60,KC_music_chart_au_2019,2019
2020-01-07,au,GD X TAEYANG,GOOD BOY,61,KC_music_chart_au_2019,2019
2020-01-07,au,EXO-K,Overdose,62,KC_music_chart_au_2019,2019
2020-01-07,au,SHINee,Ring Ding Dong,63,KC_music_chart_au_2019,2019
2020-01-07,au,EXO,CALL ME BABY,64,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,Boy in Luv,65,KC_music_chart_au_2019,2019
2020-01-07,au,BIGBANG,BAE BAE,66,KC_music_chart_au_2019,2019
2020-01-07,au,GOT7,Just Right,67,KC_music_chart_au_2019,2019
2020-01-07,au,BLACKPINK,BOOMBAYAH,68,KC_music_chart_au_2019,2019
2020-01-07,au,BLACKPINK,PLAYING WITH FIRE,69,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,Blood Sweat & Tears,70,KC_music_chart_au_2019,2019
2020-01-07,au,EXO,Growl,71,KC_music_chart_au_2019,2019
2020-01-07,au,HyunA,Bubble Pop!,72,KC_music_chart_au_2019,2019
2020-01-07,au,SHINee,Hello,73,KC_music_chart_au_2019,2019
2020-01-07,au,Girls' Generation,Run Devil Run,74,KC_music_chart_au_2019,2019
2020-01-07,au,SUPER JUNIOR,Mr. Simple,75,KC_music_chart_au_2019,2019
2020-01-07,au,SUPER JUNIOR,"Sorry, Sorry",76,KC_music_chart_au_2019,2019
2020-01-07,au,TAEYANG,"Eyes, Nose, Lips",77,KC_music_chart_au_2019,2019
2020-01-07,au,SHINee,Sherlock (Clue + Note),78,KC_music_chart_au_2019,2019
2020-01-07,au,BIGBANG,SOBER,79,KC_music_chart_au_2019,2019
2020-01-07,au,PSY,Right Now,80,KC_music_chart_au_2019,2019
2020-01-07,au,BIGBANG,WE LIKE 2 PARTY,81,KC_music_chart_au_2019,2019
2020-01-07,au,BIGBANG,Haru Haru,82,KC_music_chart_au_2019,2019
2020-01-07,au,TAEYANG,Wedding Dress,83,KC_music_chart_au_2019,2019
2020-01-07,au,TWICE,TT,84,KC_music_chart_au_2019,2019
2020-01-07,au,BIGBANG,FXXK IT,85,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,Euphoria,86,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,Dope,87,KC_music_chart_au_2019,2019
2020-01-07,au,EXO,LOVE ME RIGHT,88,KC_music_chart_au_2019,2019
2020-01-07,au,B.A.P,Warrior,89,KC_music_chart_au_2019,2019
2020-01-07,au,BIGBANG,ZUTTER (GD & T.O.P),90,KC_music_chart_au_2019,2019
2020-01-07,au,GOT7,If You Do,91,KC_music_chart_au_2019,2019
2020-01-07,au,Block B,Nillili Mambo,92,KC_music_chart_au_2019,2019
2020-01-07,au,EXO-K,Mama,93,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,MIC Drop,94,KC_music_chart_au_2019,2019
2020-01-07,au,TWICE,Like OOH-AHH,95,KC_music_chart_au_2019,2019
2020-01-07,au,BTS,Boyz with Fun,96,KC_music_chart_au_2019,2019
2020-01-07,au,TAEYANG,Wedding Dress (English Version),97,KC_music_chart_au_2019,2019
2020-01-07,au,G-DRAGON,One of a Kind,98,KC_music_chart_au_2019,2019
2020-01-07,au,f(x),Electric Shock,99,KC_music_chart_au_2019,2019
2020-01-07,au,TWICE,CHEER UP,100,KC_music_chart_au_2019,2019
2020-01-08,au,Younha,Winter Flower (feat. RM),1,KC_music_chart_au_2019,2019
2020-01-08,au,ATEEZ,Answer,2,KC_music_chart_au_2019,2019
2020-01-08,au,Red Velvet,Psycho,3,KC_music_chart_au_2019,2019
2020-01-08,au,ATEEZ,Horizon,4,KC_music_chart_au_2019,2019
2020-01-08,au,MAMAMOO,Hip,5,KC_music_chart_au_2019,2019
2020-01-08,au,PSY,Gangnam Style,6,KC_music_chart_au_2019,2019
2020-01-08,au,ATEEZ,Wonderland,7,KC_music_chart_au_2019,2019
2020-01-08,au,ATEEZ,Precious,8,KC_music_chart_au_2019,2019
2020-01-08,au,ATEEZ,Star 1117,9,KC_music_chart_au_2019,2019
2020-01-08,au,PSY,Gangnam Style,10,KC_music_chart_au_2019,2019
2020-01-08,au,BTS,Boy With Luv (feat. Halsey),11,KC_music_chart_au_2019,2019
2020-01-08,au,BLACKPINK,Kill This Love,12,KC_music_chart_au_2019,2019
2020-01-08,au,BTS,Make It Right (feat. Lauv),13,KC_music_chart_au_2019,2019
2020-01-08,au,Stray Kids,Mixtape : Gone Days,14,KC_music_chart_au_2019,2019
2020-01-08,au,EXO,Obsession,15,KC_music_chart_au_2019,2019
2020-01-08,au,BLACKPINK,Don't Know What To Do,16,KC_music_chart_au_2019,2019
2020-01-08,au,Yiruma,Kiss the Rain,17,KC_music_chart_au_2019,2019
2020-01-08,au,BTS,Burning Up (Fire),18,KC_music_chart_au_2019,2019
2020-01-08,au,BTS,Not Today,19,KC_music_chart_au_2019,2019
2020-01-08,au,BLACKPINK,DDU-DU DDU-DU,20,KC_music_chart_au_2019,2019
2020-01-08,au,BLACKPINK,BOOMBAYAH,21,KC_music_chart_au_2019,2019
2020-01-08,au,JENNIE (from BLACKPINK),SOLO,22,KC_music_chart_au_2019,2019
2020-01-08,au,BTS,Answer : Love Myself,23,KC_music_chart_au_2019,2019
2020-01-08,au,TWICE,FANCY,24,KC_music_chart_au_2019,2019
2020-01-08,au,BTS,HOME,25,KC_music_chart_au_2019,2019
2020-01-08,au,BIGBANG,BANG BANG BANG,26,KC_music_chart_au_2019,2019
2020-01-08,au,MAMAMOO,Starry Night,27,KC_music_chart_au_2019,2019
2020-01-08,au,Hwa Sa,TWIT,28,KC_music_chart_au_2019,2019
2020-01-08,au,GOT7,You Calling My Name,29,KC_music_chart_au_2019,2019
2020-01-08,au,ATEEZ,Say My Name,30,KC_music_chart_au_2019,2019
2020-01-08,au,Ailee,Just Look for You,31,KC_music_chart_au_2019,2019
2020-01-08,au,GOT7,Page,32,KC_music_chart_au_2019,2019
2020-01-08,au,BTS,Magic Shop,33,KC_music_chart_au_2019,2019
2020-01-08,au,ATEEZ,Outro : Long Journey,34,KC_music_chart_au_2019,2019
2020-01-08,au,Younha,Dark Cloud,35,KC_music_chart_au_2019,2019
2020-01-08,au,NST & The Soul Sauce meets Kim Yulhee,Bbaeng Dub,36,KC_music_chart_au_2019,2019
2020-01-08,au,Ha Dong Qn,Even In the Rainy or Snowy Day (Instrumental),37,KC_music_chart_au_2019,2019
2020-01-08,au,PSY,Gangnam Style,38,KC_music_chart_au_2019,2019
2020-01-08,au,BIGBANG,BANG BANG BANG,39,KC_music_chart_au_2019,2019
2020-01-08,au,BTS,Blood Sweat & Tears,40,KC_music_chart_au_2019,2019
2020-01-08,au,BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix],41,KC_music_chart_au_2019,2019
2020-01-08,au,BTS,Save Me,42,KC_music_chart_au_2019,2019
2020-01-08,au,BIGBANG,LOSER,43,KC_music_chart_au_2019,2019
2020-01-08,au,BTS,Dope,44,KC_music_chart_au_2019,2019
2020-01-08,au,BTS,DNA,45,KC_music_chart_au_2019,2019
2020-01-08,au,BTS,Spring Day,46,KC_music_chart_au_2019,2019
2020-01-08,au,2NE1,I Am the Best,47,KC_music_chart_au_2019,2019
2020-01-08,au,BLACKPINK,As If It's Your Last,48,KC_music_chart_au_2019,2019
2020-01-08,au,BIGBANG,IF YOU,49,KC_music_chart_au_2019,2019
2020-01-08,au,Girls' Generation,I Got a Boy,50,KC_music_chart_au_2019,2019
2020-01-08,au,BTS,Danger,51,KC_music_chart_au_2019,2019
2020-01-08,au,SHINee,Lucifer,52,KC_music_chart_au_2019,2019
2020-01-08,au,2NE1,I Love You,53,KC_music_chart_au_2019,2019
2020-01-08,au,BTS,I Need U,54,KC_music_chart_au_2019,2019
2020-01-08,au,G-DRAGON,Crayon,55,KC_music_chart_au_2019,2019
2020-01-08,au,BTS,FAKE LOVE,56,KC_music_chart_au_2019,2019
2020-01-08,au,BTS,War of Hormone,57,KC_music_chart_au_2019,2019
