Survey_Base_Date_DE,Country_CD,Music_NM,Artist_NM,Music_RN,FILE_NAME,BASE_YMD
2020-01-07,gb,Younha,Winter Flower (feat. RM),1,KC_music_chart_gb_2019,2019
2020-01-07,gb,ATEEZ,Answer,2,KC_music_chart_gb_2019,2019
2020-01-07,gb,ATEEZ,Horizon,3,KC_music_chart_gb_2019,2019
2020-01-07,gb,Red Velvet,Psycho,4,KC_music_chart_gb_2019,2019
2020-01-07,gb,ATEEZ,Precious,5,KC_music_chart_gb_2019,2019
2020-01-07,gb,PSY,Gangnam Style,6,KC_music_chart_gb_2019,2019
2020-01-07,gb,BLACKPINK,Kill This Love,7,KC_music_chart_gb_2019,2019
2020-01-07,gb,BLACKPINK,DDU-DU DDU-DU,8,KC_music_chart_gb_2019,2019
2020-01-07,gb,ATEEZ,Wonderland,9,KC_music_chart_gb_2019,2019
2020-01-07,gb,ATEEZ,Say My Name,10,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,Burning Up (Fire),11,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,Boy With Luv (feat. Halsey),12,KC_music_chart_gb_2019,2019
2020-01-07,gb,j-hope,Chicken Noodle Soup (feat. Becky G.),13,KC_music_chart_gb_2019,2019
2020-01-07,gb,MAMAMOO,Hip,14,KC_music_chart_gb_2019,2019
2020-01-07,gb,BIGBANG,BANG BANG BANG,15,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,HOME,16,KC_music_chart_gb_2019,2019
2020-01-07,gb,EXO,Obsession,17,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,Blood Sweat & Tears,18,KC_music_chart_gb_2019,2019
2020-01-07,gb,TWICE,FANCY,19,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,Serendipity (Full Length Edition),20,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,Make It Right,21,KC_music_chart_gb_2019,2019
2020-01-07,gb,TWICE,Feel Special,22,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,Dionysus,23,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,FAKE LOVE,24,KC_music_chart_gb_2019,2019
2020-01-07,gb,TOMORROW X TOGETHER,9 and Three Quarters (Run Away),25,KC_music_chart_gb_2019,2019
2020-01-07,gb,BLACKPINK,Don't Know What To Do,26,KC_music_chart_gb_2019,2019
2020-01-07,gb,GOT7,You Calling My Name,27,KC_music_chart_gb_2019,2019
2020-01-07,gb,MOMOLAND,Thumbs Up,28,KC_music_chart_gb_2019,2019
2020-01-07,gb,ATEEZ,"HALA HALA (Hearts Awakened, Live Alive)",29,KC_music_chart_gb_2019,2019
2020-01-07,gb,ATEEZ,Wave,30,KC_music_chart_gb_2019,2019
2020-01-07,gb,BIGBANG,Fantastic Baby,31,KC_music_chart_gb_2019,2019
2020-01-07,gb,ATEEZ,Star 1117,32,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,Spring Day,33,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,IDOL,34,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,No More Dream,35,KC_music_chart_gb_2019,2019
2020-01-07,gb,"K/DA, Madison Beer & (G)I-DLE",POP/STARS (feat. Jaira Burns),36,KC_music_chart_gb_2019,2019
2020-01-07,gb,BLACKPINK,BOOMBAYAH,37,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition],38,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,Mikrokosmos,39,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,DNA,40,KC_music_chart_gb_2019,2019
2020-01-07,gb,Stray Kids,MIROH,41,KC_music_chart_gb_2019,2019
2020-01-07,gb,TOMORROW X TOGETHER,CROWN,42,KC_music_chart_gb_2019,2019
2020-01-07,gb,SuperM,Jopping,43,KC_music_chart_gb_2019,2019
2020-01-07,gb,NCT 127,Highway to Heaven (English Version),44,KC_music_chart_gb_2019,2019
2020-01-07,gb,EVERGLOW,Adios,45,KC_music_chart_gb_2019,2019
2020-01-07,gb,(G)I-DLE,LION,46,KC_music_chart_gb_2019,2019
2020-01-07,gb,ATEEZ,Pirate King,47,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,Jump,48,KC_music_chart_gb_2019,2019
2020-01-07,gb,IU,Blueming,49,KC_music_chart_gb_2019,2019
2020-01-07,gb,ATEEZ,Illusion,50,KC_music_chart_gb_2019,2019
2020-01-07,gb,ATEEZ,Win,51,KC_music_chart_gb_2019,2019
2020-01-07,gb,ATEEZ,Dazzling Light,52,KC_music_chart_gb_2019,2019
2020-01-07,gb,ATEEZ,Utopia,53,KC_music_chart_gb_2019,2019
2020-01-07,gb,ATEEZ,Aurora,54,KC_music_chart_gb_2019,2019
2020-01-07,gb,CIX,Movie Star,55,KC_music_chart_gb_2019,2019
2020-01-07,gb,ATEEZ,Mist,56,KC_music_chart_gb_2019,2019
2020-01-07,gb,ASTRO,All Night,57,KC_music_chart_gb_2019,2019
2020-01-07,gb,CIX,Numb,58,KC_music_chart_gb_2019,2019
2020-01-07,gb,Witches,떳다!! 그녀!!,59,KC_music_chart_gb_2019,2019
2020-01-07,gb,ATEEZ,Outro : Long Journey,60,KC_music_chart_gb_2019,2019
2020-01-07,gb,Younha,Dark Cloud,61,KC_music_chart_gb_2019,2019
2020-01-07,gb,Crazy Frog,Axel F,62,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,Save Me,63,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,Not Today,64,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,DNA,65,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,Dope,66,KC_music_chart_gb_2019,2019
2020-01-07,gb,BIGBANG,BANG BANG BANG,67,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,War of Hormone,68,KC_music_chart_gb_2019,2019
2020-01-07,gb,BLACKPINK,As If It's Your Last,69,KC_music_chart_gb_2019,2019
2020-01-07,gb,EXO,Monster,70,KC_music_chart_gb_2019,2019
2020-01-07,gb,BTS,FAKE LOVE,71,KC_music_chart_gb_2019,2019
