Survey_Base_Date_DE,Country_CD,Music_NM,Artist_NM,Music_RN,FILE_NAME,BASE_YMD
2020-01-07,us,Younha,Winter Flower (feat. RM),1,KC_music_chart_us_2019,2019
2020-01-07,us,ATEEZ,Answer,2,KC_music_chart_us_2019,2019
2020-01-07,us,ATEEZ,Horizon,3,KC_music_chart_us_2019,2019
2020-01-07,us,Red Velvet,Psycho,4,KC_music_chart_us_2019,2019
2020-01-07,us,ATEEZ,Precious,5,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Boy With Luv (feat. Halsey),6,KC_music_chart_us_2019,2019
2020-01-07,us,ATEEZ,Star 1117,7,KC_music_chart_us_2019,2019
2020-01-07,us,BLACKPINK,Kill This Love,8,KC_music_chart_us_2019,2019
2020-01-07,us,MAMAMOO,Hip,9,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Make It Right,10,KC_music_chart_us_2019,2019
2020-01-07,us,ATEEZ,Outro : Long Journey,11,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Make It Right (feat. Lauv),12,KC_music_chart_us_2019,2019
2020-01-07,us,j-hope,Chicken Noodle Soup (feat. Becky G.),13,KC_music_chart_us_2019,2019
2020-01-07,us,PSY,Gangnam Style,14,KC_music_chart_us_2019,2019
2020-01-07,us,ATEEZ,Wonderland,15,KC_music_chart_us_2019,2019
2020-01-07,us,Stray Kids,Mixtape : Gone Days,16,KC_music_chart_us_2019,2019
2020-01-07,us,EXO,Obsession,17,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,FAKE LOVE,18,KC_music_chart_us_2019,2019
2020-01-07,us,TWICE,Feel Special,19,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Mikrokosmos,20,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Dionysus,21,KC_music_chart_us_2019,2019
2020-01-07,us,MOMOLAND,Thumbs Up,22,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Euphoria,23,KC_music_chart_us_2019,2019
2020-01-07,us,TOMORROW X TOGETHER,9 and Three Quarters (Run Away),24,KC_music_chart_us_2019,2019
2020-01-07,us,BLACKPINK,DDU-DU DDU-DU,25,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,IDOL,26,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,HOME,27,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,DNA,28,KC_music_chart_us_2019,2019
2020-01-07,us,Younha,Dark Cloud,29,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Burning Up (Fire),30,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition],31,KC_music_chart_us_2019,2019
2020-01-07,us,GOT7,You Calling My Name,32,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Pied Piper,33,KC_music_chart_us_2019,2019
2020-01-07,us,TWICE,FANCY,34,KC_music_chart_us_2019,2019
2020-01-07,us,"K/DA, Madison Beer & (G)I-DLE",POP/STARS (feat. Jaira Burns),35,KC_music_chart_us_2019,2019
2020-01-07,us,ATEEZ,Say My Name,36,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Blood Sweat & Tears,37,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Dimple,38,KC_music_chart_us_2019,2019
2020-01-07,us,(G)I-DLE,LION,39,KC_music_chart_us_2019,2019
2020-01-07,us,SuperM,Let’s Go Everywhere,40,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Trivia?轉 : Seesaw,41,KC_music_chart_us_2019,2019
2020-01-07,us,NCT DREAM,BOOM,42,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Save Me,43,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Serendipity (Full Length Edition),44,KC_music_chart_us_2019,2019
2020-01-07,us,MAMAMOO,gogobebe,45,KC_music_chart_us_2019,2019
2020-01-07,us,ATEEZ,Wave,46,KC_music_chart_us_2019,2019
2020-01-07,us,SuperM,Jopping,47,KC_music_chart_us_2019,2019
2020-01-07,us,MAMAMOO,Egotistic,48,KC_music_chart_us_2019,2019
2020-01-07,us,Younha,26,49,KC_music_chart_us_2019,2019
2020-01-07,us,Younha,See You,50,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Spring Day,51,KC_music_chart_us_2019,2019
2020-01-07,us,EXO,Love Shot,52,KC_music_chart_us_2019,2019
2020-01-07,us,Hwa Sa,TWIT,53,KC_music_chart_us_2019,2019
2020-01-07,us,Ailee,Just Look for You,54,KC_music_chart_us_2019,2019
2020-01-07,us,Younha,One Day of Twenty,55,KC_music_chart_us_2019,2019
2020-01-07,us,BLACKPINK,As If It's Your Last,56,KC_music_chart_us_2019,2019
2020-01-07,us,BLACKPINK,BOOMBAYAH,57,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Lights,58,KC_music_chart_us_2019,2019
2020-01-07,us,NCT 127,Highway to Heaven (English Version),59,KC_music_chart_us_2019,2019
2020-01-07,us,ATEEZ,Pirate King,60,KC_music_chart_us_2019,2019
2020-01-07,us,HyunA,Flower Shower,61,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Not Today,62,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Epiphany,63,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,FAKE LOVE,64,KC_music_chart_us_2019,2019
2020-01-07,us,EVERGLOW,Adios,65,KC_music_chart_us_2019,2019
2020-01-07,us,IU,Blueming,66,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,I'm Fine,67,KC_music_chart_us_2019,2019
2020-01-07,us,ATEEZ,"HALA HALA (Hearts Awakened, Live Alive)",68,KC_music_chart_us_2019,2019
2020-01-07,us,MONSTA X,Follow,69,KC_music_chart_us_2019,2019
2020-01-07,us,Stray Kids,Levanter,70,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Danger,71,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,House of Cards (Full Length Edition),72,KC_music_chart_us_2019,2019
2020-01-07,us,j-hope,Daydream,73,KC_music_chart_us_2019,2019
2020-01-07,us,CHUNG HA,Gotta Go,74,KC_music_chart_us_2019,2019
2020-01-07,us,ASTRO,Blue Flame,75,KC_music_chart_us_2019,2019
2020-01-07,us,HEIZE,We don't talk together (feat. Giriboy) [Prod. SUGA],76,KC_music_chart_us_2019,2019
2020-01-07,us,ATEEZ,Illusion,77,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix],78,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,"We Are Bulletproof, Pt. 2",79,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Dope,80,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Lie,81,KC_music_chart_us_2019,2019
2020-01-07,us,Red Velvet,Bad Boy,82,KC_music_chart_us_2019,2019
2020-01-07,us,iKON,LOVE SCENARIO,83,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Trivia?起 : Just Dance,84,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Heartbeat (BTS World Original Soundtrack),85,KC_music_chart_us_2019,2019
2020-01-07,us,Agust D,Tony Montana (feat. Yankie),86,KC_music_chart_us_2019,2019
2020-01-07,us,MONSTA X,WHO DO U LOVE? (feat. French Montana),87,KC_music_chart_us_2019,2019
2020-01-07,us,NCT U,Baby Don’t Stop,88,KC_music_chart_us_2019,2019
2020-01-07,us,ITZY,DALLA DALLA,89,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,134340,90,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Magic Shop,91,KC_music_chart_us_2019,2019
2020-01-07,us,CHUNG HA,Snapping,92,KC_music_chart_us_2019,2019
2020-01-07,us,SEVENTEEN,Fear,93,KC_music_chart_us_2019,2019
2020-01-07,us,Red Velvet,In & Out,94,KC_music_chart_us_2019,2019
2020-01-07,us,Yoonmirae,Flower,95,KC_music_chart_us_2019,2019
2020-01-07,us,TOMORROW X TOGETHER,New Rules,96,KC_music_chart_us_2019,2019
2020-01-07,us,Stray Kids,Astronaut,97,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Dope,98,KC_music_chart_us_2019,2019
2020-01-07,us,EXO,Monster,99,KC_music_chart_us_2019,2019
2020-01-07,us,BTS,Go Go,100,KC_music_chart_us_2019,2019
2020-01-08,us,Younha,Winter Flower (feat. RM),1,KC_music_chart_us_2019,2019
2020-01-08,us,ATEEZ,Answer,2,KC_music_chart_us_2019,2019
2020-01-08,us,Red Velvet,Psycho,3,KC_music_chart_us_2019,2019
2020-01-08,us,ATEEZ,Horizon,4,KC_music_chart_us_2019,2019
2020-01-08,us,BAEKHYUN,My Love,5,KC_music_chart_us_2019,2019
2020-01-08,us,BTS,Boy With Luv (feat. Halsey),6,KC_music_chart_us_2019,2019
2020-01-08,us,ATEEZ,Precious,7,KC_music_chart_us_2019,2019
2020-01-08,us,MAMAMOO,Hip,8,KC_music_chart_us_2019,2019
2020-01-08,us,BLACKPINK,Kill This Love,9,KC_music_chart_us_2019,2019
2020-01-08,us,BTS,Make It Right,10,KC_music_chart_us_2019,2019
2020-01-08,us,LOOΠΔ,"소년, 소녀",11,KC_music_chart_us_2019,2019
2020-01-08,us,BTS,Make It Right (feat. Lauv),12,KC_music_chart_us_2019,2019
2020-01-08,us,SF9,Good Guy,13,KC_music_chart_us_2019,2019
2020-01-08,us,ATEEZ,Star 1117,14,KC_music_chart_us_2019,2019
2020-01-08,us,PSY,Gangnam Style,15,KC_music_chart_us_2019,2019
2020-01-08,us,LOOΠΔ,The Carol,16,KC_music_chart_us_2019,2019
2020-01-08,us,j-hope,Chicken Noodle Soup (feat. Becky G.),17,KC_music_chart_us_2019,2019
2020-01-08,us,ATEEZ,Wonderland,18,KC_music_chart_us_2019,2019
2020-01-08,us,BLACKPINK,DDU-DU DDU-DU,19,KC_music_chart_us_2019,2019
2020-01-08,us,BTS,IDOL,20,KC_music_chart_us_2019,2019
2020-01-08,us,EXO,Obsession,21,KC_music_chart_us_2019,2019
2020-01-08,us,BTS,Euphoria,22,KC_music_chart_us_2019,2019
2020-01-08,us,TWICE,FANCY,23,KC_music_chart_us_2019,2019
2020-01-08,us,VERIVERY,Lay Back,24,KC_music_chart_us_2019,2019
2020-01-08,us,"K/DA, Madison Beer & (G)I-DLE",POP/STARS (feat. Jaira Burns),25,KC_music_chart_us_2019,2019
2020-01-08,us,BTS,Mikrokosmos,26,KC_music_chart_us_2019,2019
2020-01-08,us,TWICE,Feel Special,27,KC_music_chart_us_2019,2019
2020-01-08,us,TOMORROW X TOGETHER,9 and Three Quarters (Run Away),28,KC_music_chart_us_2019,2019
2020-01-08,us,MOMOLAND,Thumbs Up,29,KC_music_chart_us_2019,2019
